Rank,German,Correct English,Correct POS,Corrected German Example,Issue
2,sie,she; they,prn,Sie war nicht deine Freundin?,"The example does not contain ""sie"" as a pronoun and therefore does not support the headword."
18,auf,on; onto; up,prp; adv,Die Frau griff nach dem Messer auf dem Tisch.,"The sentence is malformed/unnatural. The intended meaning is likely ""The woman reached for the knife on the table."""
25,dass,that,con,"Auch wenn die Fakten dagegen sprachen, bestand er darauf, dass er es nicht gestohlen hatte.","""es nicht das gestohlen"" is incorrect."
30,noch,yet; still; nor,adv; con,Ich will eigentlich noch kein Kind.,"After a negation, ""kein"" is required for the noun phrase in this meaning."
41,mal,sometimes; at some point,adv,Jeder macht mal einen Fehler.,"In ""Jeder macht mal einen Fehler"", ""mal"" means ""sometimes/at some point"" rather than ""times""."
64,los,wrong; going on; up,adv; adj,Was war los mit deiner Mutter?,"""los"" does not mean ""loose"". In this example it means ""wrong / going on / the matter""."
70,sagen,say; tell,vb2,Sie sagen nicht die Wahrheit.,"The core dictionary gloss should be ""say""; ""tell"" is context-dependent and usually takes an object/person."
84,Weg,way; path; road,M,Lasst uns diesen Weg gehen.,"Capitalized ""Weg"" is the noun ""way/path/road"". ""away"" belongs to lowercase ""weg""."
90,ganz,whole; completely; quite; entirely,adv; adj,Das Haus sieht mit dem erneuerten Anstrich ganz wunderbar aus.,"""ganz"" commonly means whole, completely, entirely, quite; ""full"" is misleading here."
97,damit,so that; with it,con; cntr,"John krempelte seine Hosenbeine hoch, damit sie nicht nass werden.","""damit"" as a conjunction means ""so that"" here; the English ""with it"" is a different use. The sentence itself is grammatically fine but the intended result is ""so that they would not get wet""."
110,(he)raus,out (coll.),adv,Geh nicht ohne Regenschirm raus.,"The headword is colloquial ""raus"" but the example uses ""ausgehen"" and therefore does not directly illustrate ""raus""."
152,bleiben,stay; remain,vb,"John wollte gehen, doch Jane wollte noch etwas länger bleiben.","""noch etwas bleiben"" is understandable but not idiomatic here; ""noch etwas länger bleiben"" is more natural."
267,einzig,only; sole,adj; adv,Der einzige Merkwürdige hier bist du.,"The inflected adjective should be ""einzige"", not ""einzig"", in this noun phrase."
303,endlich,finally; at last,adv,Endlich erreichten wir den Gipfel des Fuji.,"""endlich"" does not mean ""finite""."
305,ziemlich,quite; fairly; rather,adv,Ich hielt es für ziemlich witzig.,"""considerable"" is not a normal meaning of ""ziemlich""."
307,Fest,celebration; festival; party,N,Das wäre kein so lustiges Fest.,"The capitalized noun ""Fest"" is a celebration/festival/party. The adjective/adverb ""fest"" is a separate lowercase lemma."
347,Teil,part,M,Du bist nicht länger Teil meines Lebens.,"The POS field is blank/malformed in the source row, while the noun ""Teil"" is masculine or neuter depending on meaning; for this example it is neuter: ""das Teil"" or here ""Teil meines Lebens""."
361,Erde,earth,F,Die Erde ist viereinhalb Milliarden Jahre alt.,"""viereinhalb Milliarde"" is incorrect. It should be ""viereinhalb Milliarden Jahre"" or a contextually complete age expression."
383,weh,hurt; painful,adv,Mein Plan tut niemandem weh.,"""weh"" is normally an adverb/predicative element in constructions such as ""wehtun"", not a normal adjective meaning ""sore""."
391,kaufen,buy,vb2,Welches Gemüse möchtest du kaufen?,"""Gemüse"" is neuter singular/mass noun: ""Welches Gemüse möchtest du kaufen?"""
413,planen,plan,vb,"Ich weiß, dass John und Jane planen, das zu tun.","The infinitive clause needs ""zu"": ""planen, das zu tun""."
423,acht,eight,nu,"Sie fing um acht Uhr an, den Bericht zu schreiben, und war um zwölf Uhr damit fertig.","The example contains corrupted text ""aχt"" and is grammatically incomplete."
438,Laden,shop; store,M,Dieser Laden wird um neun Uhr geschlossen.,"Capitalized ""Laden"" is the noun ""shop/store"". Verb ""laden"" is lowercase and means load/invite."
447,Ärger,trouble,M,"Versuch, Jane keinen Ärger zu machen.","A comma is required before the infinitive clause: ""Versuch Jane keinen Ärger zu machen"" → ""Versuch, Jane keinen Ärger zu machen""."
449,Verzeihung,sorry; forgiveness,F,"Verzeihung, ich muss zur Toilette.","After a comma, ""ich"" should be lowercase."
456,Krankenhaus,hospital,N,Der alte Mann wurde von einem Auto angefahren und sofort ins Krankenhaus gebracht.,"The German example is truncated after ""ins Krankenhaus"" and is incomplete."
466,Arm,arm,M,Er legte seinen Arm um ihre Taille.,"Capitalized ""Arm"" is the noun ""arm"". Adjective ""arm"" means poor and is lowercase."
476,unmöglich,impossible,adj,"Es ist fast unmöglich, sich als Manga-Künstler seinen Lebensunterhalt zu verdienen.","""not possibly"" is not a natural dictionary gloss. Use ""impossible"" for the adjective and ""impossibly"" only if an adverb is intended."
503,verheiraten,marry off; marry to,vb2,Sie möchte ihre Tochter mit einem Arzt verheiraten.,"""verheiraten"" is typically ""marry off / marry someone to someone"", not the general verb ""marry"" (which is ""heiraten"")."
516,müde,tired,adj,Ich bin sehr müde nach der harten Arbeit.,"""tiredly"" is not idiomatic English; ""tired"" is the normal adjective, and adverbial uses are normally phrased differently."
527,außerdem,also; besides; moreover,adv,Das Haus ist zu groß für uns und außerdem ist es zu teuer.,"""außerdem"" is more naturally ""also, besides, moreover, in addition"" than simply ""also""."
550,dagegen,by contrast; on the other hand; against it,adv; cntr,Ich dagegen habe das alles schon gesehen.,"In ""Ich dagegen ..."", ""dagegen"" means ""by contrast / on the other hand / in contrast"", not simple ""however""."
558,Beispiel,example,N,Zum Beispiel: Magst du Deutsch?,"""Zum Beispiel, magst du Deutsch?"" is awkward. Better ""Zum Beispiel: Magst du Deutsch?"" or ""Zum Beispiel magst du Deutsch?""."
571,reich,rich,adj,"Nur weil ein Mann reich ist, heißt das noch nicht, dass er auch glücklich ist.","Capitalized ""Reich"" means empire; lowercase ""reich"" means rich. They are different lemmas."
577,Rücken,back,M,Wende mir nicht den Rücken zu.,"Capitalized ""Rücken"" is the noun ""back"". Verb ""rücken"" means move/shift and is lowercase."
596,Weise,way; manner,F,Es ist ziemlich komisch auf eine furchtbare Weise.,"Capitalized ""Weise"" is the noun ""way/manner"". Adjective ""weise"" means wise and is lowercase."
622,Bulle,bull; cop (coll.),M,John ist von Beruf Bulle.,"""John ist Bulle von Beruf"" is not the normal word order. Use ""John ist von Beruf Bulle."""
636,jawohl,yes; yes sir; indeed,prt,Bist du jetzt zufrieden? Jawohl.,"""jawohl"" is closer to ""yes / yes sir / indeed"" than generic ""of course""."
639,Taxi,taxi,N,Hier können wir ein Taxi nehmen.,"The POS field is malformed/incomplete (""N/M""). The noun ""Taxi"" is neuter."
642,unbedingt,absolutely; necessarily; definitely,adv,"John meinte, dass Jane das gar nicht unbedingt tun müsse.","""unconditional"" is not a meaning of ""unbedingt"". It means ""absolutely; necessarily; definitely; by all means""."
660,Vergnügen,pleasure,N,Das ist mir ein großes Vergnügen.,"""Vergnügen"" is the noun ""pleasure"". Verb ""vergnügen"" normally occurs reflexively as ""sich vergnügen""; the given POS is misleading."
709,ungefähr,approximately; about,adv,Ich lerne jeden Tag ungefähr zwei Stunden lang.,"""ungefähr"" is an adverb meaning ""approximately/about""; ""approximate"" is an adjective."
712,Weib,woman (derogatory/old-fashioned); female,N,Du jammerst wie ein altes Weib.,"""Weib"" is a colloquial/derogatory/old-fashioned word for woman/female, not a neutral everyday ""woman""."
